PhraseId,Sentiment
156061,1
156062,1
156063,2
156064,1
156065,1
156066,3
156067,3
156068,2
156069,4
156070,2
156071,1
156072,2
156073,1
156074,2
156075,2
156076,1
156077,2
156078,1
156079,0
156080,2
156081,2
156082,2
156083,1
156084,2
156085,2
156086,2
156087,1
156088,2
156089,0
156090,2
156091,0
156092,0
156093,3
156094,2
156095,2
156096,3
156097,2
156098,2
156099,2
156100,2
156101,1
156102,2
156103,2
156104,2
156105,2
156106,2
156107,1
156108,2
156109,1
156110,2
156111,2
156112,1
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,1
156123,1
156124,2
156125,1
156126,1
156127,2
156128,0
156129,2
156130,0
156131,2
156132,0
156133,2
156134,2
156135,1
156136,0
156137,2
156138,0
156139,0
156140,0
156141,0
156142,0
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,1
156151,2
156152,2
156153,2
156154,4
156155,3
156156,2
156157,3
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,2
156165,2
156166,4
156167,1
156168,4
156169,2
156170,2
156171,4
156172,4
156173,2
156174,4
156175,4
156176,4
156177,2
156178,0
156179,1
156180,0
156181,1
156182,2
156183,0
156184,2
156185,0
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,1
156196,2
156197,2
156198,2
156199,1
156200,3
156201,3
156202,1
156203,3
156204,2
156205,4
156206,4
156207,0
156208,2
156209,0
156210,0
156211,0
156212,2
156213,0
156214,2
156215,0
156216,1
156217,2
156218,1
156219,4
156220,2
156221,4
156222,4
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,2
156238,4
156239,3
156240,4
156241,2
156242,2
156243,4
156244,4
156245,4
156246,4
156247,2
156248,2
156249,2
156250,1
156251,1
156252,3
156253,3
156254,3
156255,3
156256,3
156257,4
156258,2
156259,3
156260,2
156261,1
156262,1
156263,3
156264,3
156265,1
156266,3
156267,2
156268,2
156269,0
156270,1
156271,2
156272,4
156273,1
156274,4
156275,4
156276,4
156277,4
156278,4
156279,4
156280,4
156281,4
156282,4
156283,4
156284,2
156285,2
156286,4
156287,4
156288,4
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,2
156297,2
156298,1
156299,1
156300,1
156301,1
156302,2
156303,2
156304,1
156305,1
156306,1
156307,1
156308,2
156309,1
156310,2
156311,1
156312,2
156313,2
156314,0
156315,1
156316,0
156317,1
156318,2
156319,0
156320,1
156321,2
156322,2
156323,2
156324,4
156325,2
156326,2
156327,1
156328,3
156329,3
156330,2
156331,2
156332,2
156333,3
156334,3
156335,3
156336,2
156337,3
156338,4
156339,4
156340,3
156341,1
156342,1
156343,1
156344,1
156345,2
156346,3
156347,2
156348,4
156349,2
156350,2
156351,1
156352,0
156353,1
156354,1
156355,2
156356,3
156357,3
156358,2
156359,2
156360,2
156361,2
156362,0
156363,2
156364,0
156365,0
156366,2
156367,0
156368,0
156369,0
156370,0
156371,0
156372,0
156373,0
156374,3
156375,3
156376,2
156377,0
156378,3
156379,2
156380,1
156381,1
156382,2
156383,2
156384,1
156385,3
156386,2
156387,2
156388,2
156389,2
156390,2
156391,3
156392,2
156393,3
156394,4
156395,2
156396,3
156397,3
156398,3
